customer_id,first_name,last_name,phone_number,expenditure
1,Liam,Anderson,(90) 124-5678,0
2,Olivia,Martinez,(91) 238-7654,0
3,Noah,Bennett,(94) 567-8901,0
4,Emma,Reynolds,(93) 412-5678,0
5,Jackson,Carter,(99) 876-5432,0
6,Ava,Sullivan,(97) 834-5612,0
7,Lucas,Harrison,(96) 754-3210,0
8,Sophia,Wallace,(95) 689-0123,0
9,Aiden,Turner,(98) 765-4321,0
10,Isabella,Patel,(92) 345-6789,0
11,Ethan,Mitchell,(91) 876-5432,0
12,Mia,Turner,(95) 234-6781,0
13,Jacob,Reynolds,(97) 865-4321,0
14,Harper,Foster,(92) 345-6780,0
15,Mason,Stewart,(94) 567-8902,0
16,Amelia,Bennett,(98) 765-4320,0
17,Logan,Patel,(93) 214-5678,0
18,Abigail,Spencer,(91) 876-5430,0
19,Caleb,Caldwell,(96) 754-3218,0
20,Ella,McKenzie,(94) 321-6789,0
21,Oliver,Montgomery,(92) 109-8765,0
22,Scarlett,Graham,(95) 678-9012,0
23,Elijah,Sullivan,(91) 234-5678,0
24,Lily,Hawkins,(93) 214-5676,0
25,Benjamin,Armstrong,(97) 856-4321,0
26,Chloe,McKenzie,(95) 432-1098,0
27,Samuel,Barrett,(98) 765-4312,0
28,Grace,Carrington,(97) 654-3218,0
29,Henry,Fletcher,(94) 567-8903,0
30,Addison,Roth,(91) 234-5676,0
31,Alexander,Lambert,(96) 754-3218,0
32,Avery,Vasquez,(92) 345-6708,0
33,Wyatt,Mendoza,(99) 018-2345,0
34,Sofia,Parsons,(96) 543-2107,0
35,Carter,Conner,(97) 856-4321,0
36,Aubrey,Donovan,(93) 412-6789,0
37,James,Alvarez,(95) 678-9013,0
38,Emily,Newton,(91) 234-5678,0
39,Sebastian,Riley,(92) 109-8762,0
40,Riley,Chambers,(98) 765-4321,0
41,Daniel,Weiss,(92) 345-6781,0
42,Zoe,Fields,(97) 890-1234,0
43,Owen,Monroe,(92) 345-6781,0
44,Layla,Holland,(96) 543-2108,0
45,Grayson,Chavez,(99) 876-5431,0
46,Lily,Blair,(97) 856-4321,0
47,Levi,Holland,(94) 567-8903,0
48,Zoey,Holloway,(92) 345-6784,0
49,Matthew,Flynn,(95) 432-1097,0
50,Lillian,Stuart,(93) 214-5678,0
51,Julian,Donovan,(91) 876-5432,0
52,Natalie,Parks,(95) 678-9014,0
53,David,Hendricks,(91) 876-5432,0
54,Penelope,Walton,(97) 890-1235,0
55,Gabriel,Bishop,(92) 345-6782,0
56,Hannah,Harrington,(96) 543-2106,0
57,Jack,Morrison,(93) 456-7892,0
58,Aurora,Tanner,(98) 765-4324,0
59,Luke,Francis,(94) 567-8905,0
60,Savannah,Thornton,(95) 432-1094,0
61,Christopher,Stanton,(97) 856-4321,0
62,Victoria,McCarty,(92) 109-8763,0
63,Isaac,O'Donnell,(91) 234-5672,0
64,Stella,Erickson,(99) 876-5430,0
65,Lincoln,Zimmerman,(95) 678-9015,0
66,Ellie,Buchanan,(94) 321-6785,0
67,Andrew,Harrington,(96) 543-2104,0
68,Hazel,Park,(93) 214-5678,0
69,William,Wiley,(97) 890-1237,0
70,Aria,Montgomery,(98) 765-4326,0
71,Nicholas,Hodge,(91) 876-5435,0
72,Clara,Downs,(95) 432-1093,0
73,Nathan,Poole,(91) 234-5673,0
74,Zoe,Roman,(94) 567-8906,0
75,Ethan,Hodge,(96) 543-2103,0
76,Madelyn,Cochran,(92) 109-8760,0
77,Caleb,Sellers,(99) 012-3458,0
78,Scarlett,Fitzgerald,(97) 856-4321,0
79,Dylan,Blackburn,(95) 678-9016,0
80,Grace,Park,(93) 456-7893,0
81,Evan,Holland,(94) 321-6784,0
82,Chloe,Giles,(97) 890-1238,0
83,Joshua,Schroeder,(98) 765-4327,0
84,Samantha,Melendez,(96) 543-2102,0
85,Hunter,Pace,(92) 345-6783,0
86,Anna,Buck,(91) 876-5436,0
87,Caleb,Carrington,(91) 234-5674,0
88,Lucy,Sawyer,(93) 214-5679,0
89,Levi,Nixon,(94) 567-8907,0
90,Audrey,Dickson,(97) 856-4321,0
91,Samuel,Bright,(92) 109-8759,0
92,Leah,Bradford,(95) 432-1092,0
93,Cooper,Hatfield,(91) 876-5437,0
94,Aaliyah,Hurst,(99) 012-3450,0
95,Eli,Meadows,(96) 543-2100,0
96,Skylar,Schaefer,(97) 890-1239,0
97,Isaac,Chang,(93) 456-7894,0
98,Addison,Morse,(98) 765-4328,0
99,Anthony,Bowers,(91) 234-5675,0
100,Gabriella,Wiley,(94) 567-8908,0
